[19:05:07][Info]: Remember! Quit the server by using 'Control + C' so a backup is properly made before closing!
[19:05:07][LMP]: Luna Server version: 0.29.0 (C:\Servertest\LMPServer 1\LMPServer\)
[19:05:07][Debug]: Loading universe... 0,639KB
[19:05:07][Debug]: Loading groups...
[19:05:07][Debug]: Loading settings...
[19:05:07][Debug]: Loading mod control...
[19:05:08][Debug]: Loading plugins...
[19:05:08][LMP]: Starting 'ZZZwefly' on Address 0.0.0.0 Port 8800... 
[19:11:09][Debug]: Saving kerbal Gledas Kerman from Micro
[19:11:09][Debug]: Saving kerbal Malfry Kerman from Micro
[19:11:09][Debug]: Saving kerbal Malbrett Kerman from Micro
[19:11:09][Debug]: Saving kerbal Kalin Kerman from Micro
[19:11:09][Debug]: Saving kerbal Miing Kerman from Micro
[19:11:09][Debug]: Saving kerbal Fergas Kerman from Micro
[19:11:09][Debug]: Saving kerbal Kenmy Kerman from Micro
[19:11:09][Debug]: Saving kerbal Gigun Kerman from Micro
[19:11:09][Debug]: Saving kerbal Valentina Kerman from Micro
[19:11:09][Debug]: Saving kerbal Irpont Kerman from Micro
[19:11:09][Debug]: Saving kerbal Sigun Kerman from Micro
[19:11:09][Debug]: Saving kerbal Kavan Kerman from Micro
[19:11:09][Debug]: Saving kerbal Jebediah Kerman from Micro
[19:11:09][Debug]: Saving kerbal Bill Kerman from Micro
[19:11:10][Debug]: Saving kerbal Bob Kerman from Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 3e0b695d-9d24-4508-9cb2-6ca1a3bf7e09 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - b16b3d42-6128-42ef-82b8-73943e807289 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 000e0ae8-115a-4f25-9f70-26cb2441f139 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 26c3517f-b202-4c34-8f2e-1a319a94703e - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 2f983039-5924-40b4-9353-18f11c4c0487 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 22dd0ae6-84e1-4ad1-ab63-72bbd21fd91d - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - f489168f-678f-44eb-b8df-68f18001104f - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - d599b596-8cd5-4503-862f-b25238b1e096 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 27b906e7-9283-4ad0-928c-f385e945bbe3 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 7416332e-1bae-4223-965a-248b05781c4e - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 91013618-b51e-4a71-bae5-506d66d4ca67 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 0210012e-063d-40ff-b98c-cd023ad09b25 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 4b0733e5-0833-43dc-9e55-3b865af96db7 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 86e73b2b-d351-483a-888d-78b265330b52 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - a3d780c6-f644-4725-8f36-6d86a4dae324 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 4669a355-b5c8-4c92-b181-1f94451b57b9 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 9788b127-f7eb-4843-bdae-0ee13c0f9453 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - ab4abe37-bfb4-45d7-8356-6102a678d301 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 0cce26b0-c660-4876-a2cc-fe698edad94f - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - f84fafd8-e693-488d-aa07-a5818a8892c8 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 65aa25d8-d99c-4df3-b8d5-b7357c5a8337 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 09ae611c-ff83-4baa-a5c9-e79bf56de7e9 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 2ebb701c-e262-4b62-8170-3af018fe0387 - Micro
[19:11:10][Debug]: Micro acquired lock UnloadedUpdate - 2c27be14-6db5-45db-a7a3-b5c85df54546 - Micro
[19:11:10][Debug]: Micro acquired lock AsteroidComet - Micro
[19:11:10][Debug]: Micro synced with subspace '116' created by Server
[19:11:13][Debug]: Performing backups...
[19:11:23][LMP]: New client Connection from 84.255.185.16:23883
[19:11:23][Debug]: Online Players: 1, connected: 2
[19:11:23][Debug]: Saving kerbal Catald Kerman from Micro
[19:11:23][Debug]: Saving kerbal Haytop Kerman from Micro
[19:11:23][Debug]: Saving kerbal Kelger Kerman from Micro
[19:11:24][LMP]: Client 7dxe (359865CA-ED9C-5CEF-8044-DBA515F1C864) handshake successfully, Version: 0.29.0
[19:11:24][Debug]: Online Players: 2, connected: 2
[19:11:27][Debug]: Sending 7dxe 24 vessels
[19:11:27][Debug]: Sending 7dxe 38 kerbals...
[19:11:28][Debug]: Sending 7dxe 1 possible subspaces
[19:11:30][Debug]: Saving 9 scenario modules from Micro
[19:11:37][Debug]: Sending 7dxe 24 vessels
[19:11:43][Debug]: Performing backups...
[19:11:45][Debug]: Saving kerbal Jebediah Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Bill Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Bob Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Valentina Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Mito Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Fergas Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Malbrett Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Kavan Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Irpont Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Sigun Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Kenmy Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Gigun Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Miing Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Kalin Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Gledas Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Malfry Kerman from 7dxe
[19:11:45][Debug]: Sending 1 screenshot folders to: 7dxe
[19:11:45][Debug]: Sending 2 craft folders to: 7dxe
[19:11:45][Debug]: Saving kerbal Mito Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Gledas Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Malfry Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Malbrett Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Kalin Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Miing Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Fergas Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Kenmy Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Gigun Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Valentina Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Irpont Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Sigun Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Kavan Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Jebediah Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Bill Kerman from 7dxe
[19:11:45][Debug]: Saving kerbal Bob Kerman from 7dxe
[19:11:46][Debug]: 7dxe synced with subspace '116' created by Server
[19:11:55][Debug]: Micro acquired lock Update - 9788b127-f7eb-4843-bdae-0ee13c0f9453 - Micro
[19:12:00][Debug]: Micro acquired lock Control - 9788b127-f7eb-4843-bdae-0ee13c0f9453 - Micro
[19:12:01][Debug]: Micro acquired lock Kerbal - Jebediah Kerman - Micro
[19:12:01][Debug]: Micro acquired lock Kerbal - Bill Kerman - Micro
[19:12:01][Debug]: Micro acquired lock Kerbal - Bob Kerman - Micro
[19:12:01][Debug]: Saving 2 scenario modules from Micro
[19:12:05][Debug]: Saving 9 scenario modules from 7dxe
[19:12:13][Debug]: Performing backups...
[19:12:17][Debug]: 7dxe acquired lock Kerbal - Bilgas Kerman - 7dxe
[19:12:17][Debug]: 7dxe acquired lock Kerbal - Catald Kerman - 7dxe
[19:12:17][Debug]: 7dxe acquired lock Kerbal - Hairim Kerman - 7dxe
[19:12:17][Debug]: Saving kerbal Bilgas Kerman from 7dxe
[19:12:17][Debug]: Saving kerbal Catald Kerman from 7dxe
[19:12:17][Debug]: Saving kerbal Hairim Kerman from 7dxe
[19:12:25][Debug]: 7dxe acquired lock Control - e0545562-77c7-4e88-ac92-b27edb9661ad - 7dxe
[19:12:26][Debug]: 7dxe acquired lock Update - e0545562-77c7-4e88-ac92-b27edb9661ad - 7dxe
[19:12:26][Debug]: 7dxe acquired lock UnloadedUpdate - e0545562-77c7-4e88-ac92-b27edb9661ad - 7dxe
[19:12:29][Debug]: Saving vessel e0545562-77c7-4e88-ac92-b27edb9661ad (371,683 KB) from 7dxe.
[19:12:34][Debug]: Saving 2 scenario modules from 7dxe
[19:12:44][Debug]: Performing backups...
[19:13:14][Debug]: Performing backups...
[19:13:44][Debug]: Performing backups...
[19:14:14][Debug]: Performing backups...
[19:14:44][Debug]: Performing backups...
[19:15:14][Debug]: Performing backups...
[19:15:44][Debug]: Performing backups...
[19:16:14][Debug]: Performing backups...
[19:16:45][Debug]: Performing backups...
[19:17:15][Debug]: Performing backups...
[19:17:45][Debug]: Performing backups...
[19:18:15][Debug]: Performing backups...
[19:18:45][Debug]: Performing backups...
[19:19:15][Debug]: Performing backups...
